sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1968,1,2,13,1,8,11,1,-0.08,-0.38,,r
m,1976,1,3,10,,8,11,1,0.33,-0.85,,r
m,1973,3,1,5,5,8,11,1,0.5,-0.68,43,r
m,1973,2,1,6,7,8,11,3,0.43,-0.43,,r
m,1977,1,1,6,7,8,6,1,-0.05,-0.85,,r
m,1993,3,2,9,1,8,11,1,0.18,-0.58,0,r
m,1975,5,1,4,,,,,-0.05,-0.65,,r
m,1977,1,,6,7,4,6,1,0.08,-0.28,0,r
m,1975,1,1,16,3,8,6,1,-0.13,-0.5,0,r
m,1989,1,4,10,5,8,6,1,0.08,-0.7,0,r
m,1983,3,2,16,5,1,6,1,-0.2,-0.48,0,r
m,1973,1,1,7,7,8,6,1,-0.15,-0.43,0,r
m,1982,1,1,8,2,8,2,3,0.38,-0.53,63,r
m,1986,1,1,14,5,8,6,2,-0.25,-0.7,0,r
m,1976,1,2,6,5,8,6,3,0.33,-0.78,0,r
m,1982,1,1,6,6,8,1,3,-0.13,-0.53,23,r
m,1981,1,4,6,6,8,11,3,-0.18,-0.43,32,r
f,1985,1,1,2,3,6,6,1,0.25,0.05,,r
m,1992,1,2,4,3,8,6,1,-0.15,-0.9,,r
m,1986,3,4,7,4,8,11,2,0.18,-0.73,0,r
m,1978,1,1,6,7,8,11,1,0.05,-0.48,0,r
m,1989,2,2,3,7,8,5,1,-0.15,-0.35,0,r
m,1988,1,2,7,3,2,11,3,-0.23,-0.4,0,r
m,1977,3,3,6,7,9,11,3,0.1,-0.8,0,r
m,1984,1,1,7,4,9,11,3,0.25,-0.4,0,r
m,1988,1,1,8,2,8,10,1,-0.18,-0.43,21,r
m,1983,1,2,3,4,8,11,3,-0.28,-0.33,0,r
m,1978,3,1,7,6,8,11,2,0.18,-0.55,63,r
m,1968,5,1,8,2,8,2,3,-0.25,-0.15,12,r
m,1971,1,1,11,7,9,11,3,0.28,-0.38,51,r
m,1988,2,2,6,6,8,11,2,0.4,-0.73,65,r
m,1988,1,1,7,2,5,11,1,-0.15,0.03,12,r
m,1988,1,1,7,2,5,11,1,0.05,0.4,12,r
m,1983,3,1,7,7,8,11,1,0.18,-0.43,0,r
m,1976,5,1,4,3,8,2,1,0.13,-0.33,14,r
f,1994,3,1,9,1,4,1,1,0.3,-0.68,5,r
m,1977,1,1,11,4,1,7,1,-0.35,-0.45,,r
f,1981,1,4,11,2,1,11,3,-0.35,-0.53,0,r
m,,1,1,5,7,1,6,1,0.18,-0.55,,r
m,1960,3,4,8,3,8,1,2,-0.08,-0.53,,r
f,1963,6,1,5,2,8,6,3,0,-0.5,,r
m,1968,3,2,6,6,8,11,1,0.18,-0.48,0,r
m,1981,1,1,2,7,8,11,1,0.05,-0.8,43,r
m,1983,3,1,6,4,8,11,1,-0.13,-0.45,0,r
f,1989,1,1,4,4,8,6,1,0.05,-0.48,0,r
f,1977,3,1,5,2,8,5,3,-0.1,-0.55,0,r
m,,1,1,5,,,,3,-0.38,-0.38,0,r
m,,1,1,6,3,3,1,1,-0.05,-0.68,0,r
m,1982,5,1,14,3,1,11,2,-0.38,-0.25,0,r
m,1982,1,1,6,6,8,6,3,0.05,-0.43,0,r
m,1978,1,1,3,3,4,11,1,-0.4,-0.05,0,r
m,1981,1,2,8,2,8,11,3,-0.25,-0.05,9,r
m,1971,3,1,14,2,8,1,2,-0.08,-0.68,,r
